id,title,genre,viewers,likes,comments,shares,saves
1,Funny Cat Video,Animal,1000000,150000,10000,5000,20000
2,Valorant Clip,Game,800000,80000,5000,3000,10000
3,New Trend TikTok Dances,Entertainment,700000,50000,8000,2000,15000
4,Jedag Jedug,Music,650000,55000,7000,2500,12000
5,About Stocks,Education,400000,20000,4000,1000,8000
6,About Academic,Education,100000,5000,2000,500,3000
7,Viral Meme,Entertainment,300000,25000,5000,1500,7000
8,News,Entertainment,50000,3000,1000,200,800
9,Movie Clip,Entertainment,100000,7000,2000,600,1500
10,Lirik Lagu,Music,120000,10000,3000,700,2000
11,A Day in My Life,Entertainment,150000,12000,2500,800,4000
12,Beauty Hacks,Game,120000,10000,2000,700,3000
13,Travel Vlog,Entertainment,250000,20000,5000,1500,8000
14,Gadget Unboxing,Music,180000,15000,4000,1200,5000
15,Healthy Recipe,Education,350000,30000,6000,2000,10000
16,Funny Prank,Animal,180000,14000,3000,1000,4000
17,Gameplay PUBG,Game,150000,12000,2500,800,3000
18,Challenge Dance,Entertainment,400000,30000,7000,2500,10000
19,Remix Musik,Music,200000,18000,4000,1500,5000
20,Educational Webinar,Education,80000,4000,1500,400,2000
21,Animal Rescue,Animal,220000,20000,4000,1500,7000
22,Esports Championship,Game,900000,75000,10000,5000,20000
23,Flashmob Dance,Entertainment,320000,25000,5000,2000,9000
24,Rock Concert,Music,300000,28000,7000,2500,12000
25,Tech Talk,Education,150000,10000,3000,800,4000
26,Pet Show,Animal,400000,35000,8000,2500,12000
27,Game Review,Game,200000,18000,3000,1000,5000
28,Street Dance,Entertainment,300000,25000,6000,2000,10000
29,Indie Band Performance,Music,400000,35000,5000,1500,12000
30,Online Course,Education,120000,10000,2000,700,3000
